NCERT,1,G,SSU,1,"Develops and uses vocabulary of spatial relationship (Top, Bottom, On, Under, Inside, Outside, Above, Below, Near, Far, Before, After)"
NCERT,1,G,SA,1,"Collects objects from the surroundings having different sizes and shapes like pebbles, boxes, balls, cones, pipes, etc."
NCERT,1,G,SA,2,"Sorts, Classifies and describes the objects on the basis of shapes, and other observable properties."
NCERT,1,G,SA,3,Observes and describes the way shapes affect movements like rolling and sliding.
NCERT,1,G,SA,4,Sorts 2 - D shapes such as flat objects made of card etc.
NCERT,1,N,NCO,1,Observes object and makes collections of objects.
NCERT,1,N,NCO,2,Arranges the collection of objects in order by Matching and One to one correspondence
NCERT,1,N,NCO,3,Counts the number of objects in a collection.
NCERT,1,N,NCO,4,Makes collection of objects corresponding to a specific number.
NCERT,1,N,NCO,5,Recognises and speaks numbers from 1 to 9.
NCERT,1,N,NCO,6,Uses numbers from 1 to 9 in counting and comparison. (Real objects and repeated events like clapping to be used for counting)
NCERT,1,N,NCO,7,Reads and writes numerals from 1 to 9.
NCERT,1,N,NCO,8,Adds and subtracts using real objects and pictures.
NCERT,1,N,NCO,9,Adds and subtracts the numbers using symbols ‘+’ and ‘-’.
NCERT,1,N,NCO,10,"Approaches zero through the subtraction pattern (such as 3 – 1 = 2, 3 – 2 = 1, 3 – 3 = 0)."
NCERT,1,N,NTEN,1,Forms Number sequence from 10 to 20.
NCERT,1,N,NTEN,2,Counts objects using these numbers.
NCERT,1,N,NTEN,3,Groups objects into a group of 10s and single objects.
NCERT,1,N,NTEN,4,Develops the vocabulary of group of ‘tens’ and ‘ones’.
NCERT,1,N,NTEN,5,Shows the group of tens and ones by drawing.
NCERT,1,N,NTEN,6,Counts the number of tens and ones in a given number.
NCERT,1,N,NTEN,7,Writes the numerals for eleven to nineteen.
NCERT,1,N,NTEN,8,Writes numerals for ten and twenty.
NCERT,1,N,NTEN,9,Compares numbers upto 20.
NCERT,1,N,AS,1,Adds and subtracts numbers upto 20.
NCERT,1,N,NTTY,1,Writes numerals for Twenty-one to Ninety nine. Groups objects into tens and ones.
NCERT,1,N,NTTY,2,Draws representation for groups of ten and ones.
NCERT,1,N,NTTY,3,Groups a number orally into tens and ones.
NCERT,1,N,MA,1,Adds two single digit numbers mentally.
NCERT,1,M,MN,1,Identifies common currency notes and coins.
NCERT,1,M,MN,2,Puts together small amounts of money.
NCERT,1,MS,LN,1,"Distinguishes between near, far, thin, thick, longer/taller, shorter, high, low."
NCERT,1,MS,LN,2,Seriates objects by comparing their length.
NCERT,1,MS,LN,3,Measures short lengths in terms of non-uniform units (in the context of games e.g. ‘Gilli Danda’ and ‘marblegames’).
NCERT,1,MS,LN,4,"Estimates distance and length, and verifies using nonuniform units (e.g. hand span etc.)"
NCERT,1,MS,WG,1,Compares between heavy and light objects.
NCERT,1,MS,TM,1,Distinguishes between events occurring in time using terms -earlier and later.
NCERT,1,MS,TM,2,"Gets the qualitative feel of long & short duration, of school days v/s holidays."
NCERT,1,MS,TM,3,Narrates the sequence of events in a day.
NCERT,1,DH,DH,1,"Collects, represents and interprets simple data such as measuring the arm length or circumference of the head using a paper strip."
NCERT,1,P,PT,1,"Describes sequences of simple patterns found in shapes in the surroundings and in numbers, e.g. stamping activity using fingers and thumb."
NCERT,1,P,PT,2,Completes a given sequence of simple patterns found in shapes in the surroundings and in numbers.
NCERT,2,G,SSU,1,Observes objects in the environment and gets a qualitative feel for their geometrical attributes.
NCERT,2,G,SSU,2,"Identifies the basic 3-D shapes such as cuboid, cylinder, cone, sphere by their names."
NCERT,2,G,SSU,3,Traces the 2-D outlines of 3-D objects.
NCERT,2,G,SSU,4,Observes and identifies these 2-D shapes.
NCERT,2,G,SSU,5,"Identifies 2-D shapes viz., rectangle, square, triangle, circle by their names."
NCERT,2,G,SSU,6,Describes intuitively the properties of these 2-D shapes.
